count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
18030,E,2005,2005-05-16,9,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,9,17,780,19,121,23,0,1,1,2,3,30,967
18030,E,2005,2005-05-16,10,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,5,14,860,19,103,11,2,0,2,5,3,23,1019
18030,E,2005,2005-05-16,11,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,8,7,980,18,118,22,2,1,3,2,3,33,1156
18030,E,2005,2005-05-16,12,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,9,14,1144,15,106,15,2,0,2,1,1,21,1300
18030,E,2005,2005-05-16,13,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,6,11,1087,24,103,10,5,0,2,3,1,21,1246
18030,E,2005,2005-05-16,14,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,7,13,1091,27,97,13,2,2,0,3,2,22,1250
18030,E,2005,2005-05-16,15,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,8,6,1147,14,107,8,1,1,0,1,0,11,1285
18030,E,2005,2005-05-16,16,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,8,18,1092,21,107,7,0,0,1,1,0,9,1247
18030,E,2005,2005-05-16,17,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,14,6,1193,16,82,2,0,0,0,0,1,3,1300
18030,E,2005,2005-05-16,18,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,8,11,1101,12,58,0,0,0,0,1,3,4,1186
18030,W,2005,2005-05-16,7,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,18,12,562,10,99,11,1,0,3,0,2,17,700
18030,W,2005,2005-05-16,8,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,12,11,962,15,107,24,2,2,4,1,2,35,1130
18030,W,2005,2005-05-16,9,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,5,8,971,19,139,22,3,1,3,1,2,32,1169
18030,W,2005,2005-05-16,10,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,3,11,962,18,133,13,5,0,0,1,3,22,1146
18030,W,2005,2005-05-16,11,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,11,11,1137,18,110,17,3,2,3,1,3,29,1305
18030,W,2005,2005-05-16,12,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,4,10,1181,20,101,14,3,1,1,0,3,22,1334
18030,W,2005,2005-05-16,13,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,6,16,1215,20,115,9,3,0,1,1,3,17,1383
18030,W,2005,2005-05-16,14,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,6,10,1185,19,125,18,5,2,3,1,0,29,1368
18030,W,2005,2005-05-16,15,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,41,12,1388,16,114,8,1,1,0,0,2,12,1542
18030,W,2005,2005-05-16,16,1,"South West",182,Bournemouth,A3060,Major,"B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout",411940,94325,50.74840897,-1.83212475,2.30,1.43,18,31,1414,27,143,9,4,0,1,0,0,14,1629
